Year,Day,day-grid-trap_code,grid-trap-date_code,Handler,capture info,obs?,drop,TagNo,BloodNo,RNA Seq,SNV pos,SNV titer,Treated or control,Treatment,Effective treatment,days since previous treatment/ctl,overwinter survivor,Grid,Trap Location,Species,Tail to body,Sex,Age,Class,Vagina,Nipples,Pregnant,F-Repro?,Testes,M-Repro?,Body,Total length,Tail,Length code,Weight (g),Fleas,Ticks,Botflies,Ecto PA,Ecto Spp Rich,Fecal Sample Weight,Poo Weight,Poo Weight 2,FEC done by,new FEC 2019,FEC 0s,Endo PA,Endo Spp Rich,Endo Total Egg/g,Coccidia PA,Coccidia Spp Rich,Cocc Egg/g,Edel PA,Edel Egg Count,Edel Egg/g,EarizA PA,EarizA Egg Count,EarizA Egg/g,EarizB PA,EarizB Egg Count,EarizB Egg/g,Nem PA,Nem Spp Rich,Nem Egg/g,Nem PA no larvae,Nem rich no larvae,Nem egg/g no larvae,Aamer PA,Aamer Egg Count,Aamer Egg/g,Spero PA,SperoEgg Count,SperoEgg/g,Camer PA,Camer Egg Count,Camer Egg/g,NemA PA,NemA Egg Count,NemA Egg/g,NemB PA,NemB Egg Count,NemB Egg/g,CapBub PA,CapBub Egg Count,CapBub Egg/g,Nem Larvae PA,Nem Larvae Count,Nem Larvae/g,CapWorm PA,CapWorm Egg Count,CapWorm Egg/g,Strongy PA,Strongy Egg Count,Strongy Egg/g,Cestode PA,Cestode Spp Rich,Cestode egg count,Cestode Egg/g,Hdim PA,Hdim Egg Count,Hdim Egg/g,Hcit PA,Hcit Egg Count,Hcit Egg/g,CestC PA,CestC Egg Count,CestC Egg/g,RNA seq,Zymo feces,Feces DNA label,Lympho,pct lympho,Neutro,pct neutro,Mono,pct mono,Baso,pct baso,Eosino,pct eosin,Total WBC,Eye spots
2016,20-Jun,937-42541,BC1-F7-42541,CT,cap,,0,937,1397,0,0,0,C,C,0,,,BC1,F7,PL,0.865853659,M,SA,2.9,,,,,N,N,82,153,71,,16.5,0,0,0,0,0,1.539,0.062,0.062,IN,,,1,,48.38709677,1,,32.25806452,1,1,16.12903226,1,1,16.12903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,1,,16.12903226,0,0,0,1,1,16.12903226,0,0,0,#N/A,,,,,,,,,,,,,,
2016,1-Jul,938-42552,SP1-A6-42552,CT,cap,PM? damaged tail?,0,938,1448,0,0,0,C,C,0,,,SP1,A6,PM,0.558441558,M,A,3,,,,,N,N,77,120,43,Broken tail,15.5,0,0,0,0,0,1.612,0.135,0.135,IN,,,1,2,111.1111111,1,2,111.1111111,1,5,37.03703704,1,10,74.07407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,30-May,940-42520,HW2-B2-42520,CT,cap,,0,940,1343,0,0,0,C,C,0,,,HW2,B2,PL,0.811764706,F,A,3,N,N,N,N,,,85,154,69,,14.5,0,0,0,0,0,,0.595,0.595,AT2016,,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,13-Jun,940-42534,HW2-D8-42534,CT,cap,,0,940,1369,0,0,0,C,C,0,14,,HW2,D8,PL,0.813953488,F,A,3,O,N,N,N,,,86,156,70,,18.5,0,0,0,0,0,1.653,0.176,0.176,IN,,,1,,8034.090909,1,,880.6818182,1,29,164.7727273,1,125,710.2272727,1,1,5.681818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,2,,7153.409091,1,1118,6352.272727,1,141,801.1363636,0,0,0,#N/A,,,,,,,,,,,,,,
2016,27-Jun,940-42548,HW2-F7-42548,CT,cap,,0,940,1430,0,0,0,C,C,0,14,,HW2,F7,PL,0.897435897,F,A,3,C,N,N,N,,,78,148,70,,18.5,0,0,0,0,0,,0.215,0.215,AT2016,,,1,2,83.72093023,1,2,83.72093023,1,1,4.651162791,1,17,79.06976744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,11-Jul,940-42562,HW2-B8-42562,CT,cap,,0,940,1475,0,0,0,C,C,0,14,,HW2,B8,PL,0.864197531,F,A,3,C,N,N,N,,,81,151,70,,18,0,0,0,0,0,1.856,0.379,0.379,JH,,,1,5,2290.237467,1,,1258.575198,1,13,34.30079156,1,359,947.2295515,1,5,13.19261214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,2,,1295.514512,1,384,1013.192612,1,107,282.3218997,0,0,0,#N/A,,,,,,,,,,,,,,
2016,25-Jul,940-42576,HW2-C7-42576,CT,cap,,0,940,1507,0,0,0,C,C,0,14,,HW2,C7,PL,0.793103448,F,A,3,C,N,N,N,,,87,156,69,,19.5,0,0,0,0,0,1.805,0.328,0.328,JH,,,1,2,128.0487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,2,,128.0487805,1,25,76.2195122,1,17,51.82926829,0,0,0,#N/A,,,,,,,,,,,,,,
2016,8-Aug,940-42590,HW2-A7-42590,CTSB,cap,,0,940,1535,0,0,0,C,C,0,14,,HW2,A7,PL,0.820224719,F,A,3,O,Y,Y,Y,,,89,162,73,,26,1,0,0,1,1,,0.528,0.528,TA,,,1,2,1195.075758,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.46969697,1,1,9.46969697,1,5,9.46969697,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,1,1,,1185.606061,1,626,1185.606061,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,30-May,942-42520,HW2-B6-42520,CT,cap,,0,942,1345,0,0,0,C,C,0,,,HW2,B6,PL,1,M,A,3,,,,,N,N,80,160,80,,21.5,0,0,0,0,0,2.098,0.621,0.621,IN,,,1,,1.610305958,0,,0,0,0,0,0,0,0,0,0,0,1,1,1.610305958,1,1,1.610305958,0,0,0,0,0,0,1,1,1.610305958,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,13-Jun,942-42534,HW2-A4-42534,CT,cap,,0,942,1368,0,0,0,C,C,0,14,,HW2,A4,PL,0.923076923,M,A,3,,,,,N,N,91,175,84,,20.5,0,0,0,0,0,1.679,0.202,0.202,IN,,,1,,19.8019802,0,,0,0,0,0,0,0,0,0,0,0,1,1,19.8019802,1,1,19.8019802,0,0,0,0,0,0,1,4,19.8019802,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
